#,Country,Broadband SpeedAverage Fixed Broadband Speed (Mbps),Mobile Speed,Broadband Cost,Monthly Rent,Working Holidays Visa,Happiness Index,Migrant Population %,Remote Jobs Searches,Digital Nomad Score
47,Vietnam,59.8,32.41,€10.44,"391,00 €",,5.35,0.1,2640,50.55
48,Colombia,40.13,19.09,€23.3,"288,00 €",,6.16,2.3,1440,50.36
49,Kuwait,110.33,58.95,€45.47,"828,00 €",,6.1,72.1,50,50.03
50,Greece,31.89,41.16,€37.72,"374,00 €",,5.52,11.6,4340,49.92
51,Ukraine,61.78,25.15,€6.18,"283,00 €",,4.56,11.3,770,49.68
52,USA,165.88,53.44,€46.5,"1.256,00 €",,6.94,15.4,31400,49.27
53,China,140.74,124.39,€29.21,"477,00 €",,5.12,0.1,580,49.1
54,Peru,42.27,22.51,€24.34,"387,00 €",,5.8,2.4,410,48.89
55,Philippines,27.07,17.83,€36.54,"327,00 €",,6.01,0.2,6410,48.12
56,Georgia,26.8,32.89,€12.89,"289,00 €",,4.67,2,6290,47.95
57,Saudi Arabia,75.42,84.64,€77.05,"353,00 €",,6.41,38.3,430,47.37
58,South Africa,37.24,38.73,€41.64,"524.392,00 €",,4.81,7.2,10120,47.29
59,Ecuador,27.44,21.97,€40.8,"363,00 €",,5.93,2.2,220,47.15
60,Indonesia,23.04,16.16,€27.92,"274,00 €",,5.29,0.1,6260,46.57
61,Serbia,68.9,48.44,€15.83,"287,00 €",,5.78,9.4,3020,43.97
62,Bulgaria,67.44,77.3,€14.81,"292,00 €",,5.1,2.4,2000,43.62
63,Trinidad and Tobago,68.53,41.81,€52.76,"483,00 €",,6.19,4.2,120,39.21
64,Albania,41.52,56.44,€19.11,"283,00 €",,4.88,1.7,70,38.97
65,Panama,99.9,17.22,€44.16,"684,00 €",,6.31,4.4,680,38.46
66,Pakistan,10.93,18.8,€16.32,"124,00 €",,5.69,1.5,3550,37.9
67,Dominican Republic,26.83,28.04,€24.66,"329,00 €",,5.69,5.3,960,37.81
68,Jamaica,36.05,37.62,€44.24,"396,00 €",,5.89,0.8,310,37.07
69,Guatemala,16.1,27.65,€35.46,"498,00 €",,6.4,0.5,440,36.84
70,El Salvador,17.17,19.91,€39.02,"338,00 €",,6.35,0.7,240,36.6
71,Mauritius,21.62,30.38,€46.78,"338,00 €",,6.1,2.3,230,36.6
72,Morocco,21.51,37.03,€31.44,"313,00 €",,5.1,0.3,1290,35.49
73,Nicaragua,18.38,19.36,€52.55,"231,00 €",,6.14,0.6,160,35.36
74,Bahrain,49.77,50.5,€135.68,"865,00 €",,6.23,45.2,180,35.09
75,Lebanon,10.98,41.03,€37.33,"776,00 €",,4.77,27.2,880,34.6
76,Honduras,18.26,22.4,€55.8,"293,00 €",,5.95,0.4,590,34.48
77,Tunisia,9.37,28.46,€13.28,"171,00 €",,4.39,0.5,130,34.15
78,Egypt,34.72,19.99,€12.85,"189,00 €",,4.15,0.5,300,33.84
79,Algeria,4.97,12.68,€24.11,"169,00 €",,5.01,0.6,90,33.38
80,Cambodia,25.82,18.42,€30.34,"365,00 €",,4.85,0.5,40,32.82
81,Sri Lanka,27.57,17.04,€25.48,"278,00 €",,4.33,0.2,230,32.08
82,Kenya,17.66,22.47,€52.18,"262,00 €",,4.58,2,3060,31.27
83,Ghana,47.46,15.04,€64.67,"591,00 €",,5.15,1.5,80,30.36
84,Myanmar,19.13,22.83,€34.24,"665,00 €",,4.31,0.1,150,29.16
85,Nigeria,13.23,16.93,€72.74,"670,00 €",,4.72,0.6,530,26.32
